,question,student_answer,correct
586,"When defining a recursive function, what are possible causes for infinite recursion?",There is no base case. The recursion step doesn't reduce the problem during each recursive call.,0
587,"When defining a recursive function, what are possible causes for infinite recursion?","no base case, as in a single return that does not include calling the function again.  a static value to end at.",0
588,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorrectly so the it does not reach the base case can cause infinite recursion.",0
589,"When defining a recursive function, what are possible causes for infinite recursion?",omitting the base case or writing the recursive call so that it does not converge upon the base case.,0
590,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case",0
591,"When defining a recursive function, what are possible causes for infinite recursion?",Infinite recursion may occur if no base case is defined or if the call is not varied.,0
592,"When defining a recursive function, what are possible causes for infinite recursion?","Not having a base case, or building a recursion process that doesn't converge on the base case.",0
593,"When defining a recursive function, what are possible causes for infinite recursion?","Either omitting the base case, or writing the recursion step incorerectly ",0
594,"When defining a recursive function, what are possible causes for infinite recursion?",no base case or if the programmar does not define the base case as the simplest case and it never gets reached,0
595,"When defining a recursive function, what are possible causes for infinite recursion?",No easily reached base case and no base case at all,0
596,"When defining a recursive function, what are possible causes for infinite recursion?",function is never allowed to reach the 'base case',0
597,"When defining a recursive function, what are possible causes for infinite recursion?","it has no base case, or the base case is never met",0
598,"When defining a recursive function, what are possible causes for infinite recursion?",recursion refers to situations in which functions call themselves. These types of functions are known as recursive functions. That being said Infinite recursion occurs when the function is designed in such a way as to call it self forever without stopping possible causes,0
599,What are the similarities between iteration and recursion?,"Both involve a controlled repetition structures, and they both have a termination test.  Also both of them can loop forever. ",0
600,What are the similarities between iteration and recursion?,"As discussed earlier, recursion may be used to process iterative actions. Recursion is used for calculations where the answer can be described in a function that relates to itself.",0
601,What are the similarities between iteration and recursion?,Both iteration and recursion are based on control statements and involve repetition. They can both also occur indefinitely.,0
602,What are the similarities between iteration and recursion?,Both are based on a control statement         - Iteration-repetition structure         - Recursion-selection structure        Both involve repetition         -Iteration-explicitly uses repetition structure         -Recursion-repeated function calls        Both involve a termination test         -Iteration-loop-termination test         -Recursion-base case         Both gradually approach termination         -Iteration-modifies counter until loop-termination test fails         -Recursion-produces progressively simpler versions of problem        Both can occur indefinitely         -Iteration-if loop-continuation condition never fails         -Recursion-if recursion step does not simplify the problem,0
603,What are the similarities between iteration and recursion?,"Iteration and recursion have many similarities: both are based on a control statement, involve repetition, involve a termination test, gradually approach termination and can occur infinitely.",0
604,What are the similarities between iteration and recursion?,"Both rely on repetition, both have a base case, both can become an infinite loop. Anything recursive can also be solved with iteration.",0
605,What are the similarities between iteration and recursion?,"Both will repeat (loop) until a condition is met, and exit the loop. Both are capable of entering an infinite loop.",0
606,What are the similarities between iteration and recursion?,anything you can do iterativly you can do recursively,0
607,What are the similarities between iteration and recursion?,Both are repetative and both have a end test.,0
608,What are the similarities between iteration and recursion?,"Incorrectly writing either can result in infinite loops, both perform the same task over and over.",0
609,What are the similarities between iteration and recursion?,Both are based on a control statement. Both involve repetition. Both involve a termination test. Both gradually approach termination. Both can occur infinitely.,0
610,What are the similarities between iteration and recursion?,"Both are based on a control statement, Both involve repetition, Both involve a termination test, Both gradually approach termination, Both can occur infinitely",0
611,What are the similarities between iteration and recursion?,not answered,0
612,What are the similarities between iteration and recursion?,anything you can do recursively you can do iteratively,0
613,What are the similarities between iteration and recursion?,"Many problems can be solved by both iteration and recursion, and either may go into a condition of infinite execution if a termination test is omitted.",0
614,What are the similarities between iteration and recursion?,"Iteration and recursion both use repetition and perform several simple operations and algorithms successively until they reach a certain limit.  So both involve a termination test to find that limit and both slowly approach that termination limit.  Both are based on a control statement as well.    If coded poorly, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",0
615,What are the similarities between iteration and recursion?,"both based on control statement, involve repetition, and involve a termination test within loops",0
616,What are the similarities between iteration and recursion?,they are methods of repeating the same task.,0
617,What are the similarities between iteration and recursion?,Both involve a termination test.   They use a control statement and repition to solve the problem.  They can also result in an infinite loop.,0
618,What are the similarities between iteration and recursion?,"based on a control statement, involve repetition, involve a termination test.",0
619,What are the similarities between iteration and recursion?,Both are bases on a control statement. Both involve repetition. Both involve a termination test. Both gradually approach termination. Both can occur infinitely.,0
620,What are the similarities between iteration and recursion?,"both based on a control statement, both involve repitition, both involve a termination test, both gradually approach termination, both can potentially occur infinetly.",0
621,What are the similarities between iteration and recursion?,"they are both based on a control statement, both involve repetition, both involve a termination case, both graduatlly approach that termination case, and both can occur infinitely",0
622,What are the similarities between iteration and recursion?,"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",0
623,What are the similarities between iteration and recursion?,"Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their  termination requirements are not met.",0
624,What are the similarities between iteration and recursion?,"both are based on a control statement, involve repetition and involve a termination test. both gradually approach termination, both can occur infinitely",0
625,What are the similarities between iteration and recursion?,they are used to solve the same type of problems. they do a task over and over again until a cirtain conditional statement is reached (its called the base case in recursion).,0
626,What are the similarities between iteration and recursion?,Based on control statement;  involve repetition; involve a terminal test; both can occur infinitly,0
627,What are the similarities between iteration and recursion?,"repetition, termination test, eventually terminate, occur infinately",0
628,What are the similarities between iteration and recursion?,both need to have some kind of base case to tell when the loop needs to stop.,0
629,What are the similarities between iteration and recursion?,"they both are able to do repetiive tasks. however recurisve calls itself with different parameters and defines and exit clause that is guaranteeed to be reached. Iterative includes a loop which iterates a pre-determined number of times, or checks for an exit clause every time through",0
630,What are the two different ways of specifying the length of an array?,int n[10]; //array of 10 integers and int n[arraySize] //where arraySize is some positive integer defined by the user,0
631,What are the two different ways of specifying the length of an array?,by either inputing the different elements in the array at coding or giving the array specifacations as to the size of the array. it is also possible when giving it specifacations to tell the array to grow as needed.,0
632,What are the two different ways of specifying the length of an array?,You can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable.,0
633,What are the two different ways of specifying the length of an array?,Pass the length along with the array or use a vector.,0
634,What are the two different ways of specifying the length of an array?,"One way is to declare a size of the array using a variable that is equal to an integer. The other way, if the size is omitted in the declaration, the compiler determines the size of the array based on the size of the initializer list.",0
635,What are the two different ways of specifying the length of an array?,"In the declaration (int array [x]) or with an initilizer (int array[]={0,1,2,etc.}",0
636,What are the two different ways of specifying the length of an array?,"1. Declare the length of the array (int array[10];) 2. Initialize the array (int array[] = {0, 1, 2, 3}; //compiler will assume size of 4)",0
637,What are the two different ways of specifying the length of an array?,statically and dynamically,0
638,What are the two different ways of specifying the length of an array?,Explicitly int array[10]; or by variable const int size = 10; int array[size];,0
639,What are the two different ways of specifying the length of an array?,"Array lengths can be explicitly specified by inputing the number of elements between the brackets [ ] during declaration, or implicitly by including an initializer list WITHOUT specifying a number between [ ], the compiler will automatically declare the array with the proper number of elements needed for the list. ",0
640,What are the two different ways of specifying the length of an array?,Specify an arrays size with a constant variable. And setting array elements with calculations.,0
641,What are the two different ways of specifying the length of an array?,"statically, using {} and dynamically, using []",0
642,What are the two different ways of specifying the length of an array?,"define it as array[5] or array[1,2,3,4,5]",0
643,What are the two different ways of specifying the length of an array?,Static and dynamic.,0
644,What are the two different ways of specifying the length of an array?,manually inside the brackets or automatically via an initializer list,0
645,What are the two different ways of specifying the length of an array?,"You can use an initializer list, or simply tell the compiler how many elements you want in the array.  For an Initializer list:  int a[] = {10, 2, 3, -4, 5};  For an elemental declaration: int b[5];  Both arrays have 5 elements in them, but array a is already initialized.",0
646,What are the two different ways of specifying the length of an array?,"In a string you can specify with the strlen(arrayname) command. This gets the length of the string. Another way is with integers where you initiate the size from the start, ex array[40] specifying a possible length of up to 40. Then it is passed by an object the actual ammout in the array. Another way is to declare it in an initializing program. ",0
647,What are the two different ways of specifying the length of an array?,"Implicit, namely when you give it values, like {1,2,3,4,5,6,7,8,9}, at which the compiler will automatically give this a size. Static, during the declaration. ",0
648,What are the two different ways of specifying the length of an array?,"Supply an integer inside the brackets or the compiler counts the number of elements in the initializer list. int n[5]; int n[] = { 1,2,3,4,5 }",0
649,What are the two different ways of specifying the length of an array?,either initializing the array with a specific length or initializing an array while declaring its contents.,0
650,What are the two different ways of specifying the length of an array?,within the brackets or by using an initializer list.,0
651,What are the two different ways of specifying the length of an array?,specify the number of elements in the array declaration with a constant or using a constant variable for future scalability,0
652,What are the two different ways of specifying the length of an array?,with a number and with a variable,0
653,What are the two different ways of specifying the length of an array?,"explicitly, by declaring it in brackets (i.e. int array[50];) and implicitly, by initializing several values (i.e. int array[] = {1, 2, 3};)",0
654,What are the two different ways of specifying the length of an array?,"one way of specifying of array is A[10] ; other way of specifying array is a[arraysize] = [1,2,3,4,5,6,7,8,9,10}",0
655,What are the two different ways of specifying the length of an array?,1-Initializing an array in a declaration with an initializer list 2-Specifying an arrays size with a constant variable,0
656,What are the two different ways of specifying the length of an array?,"Initializing the size in the brackets: int a[100]; Initializing the length by assigning variables: int a[] = {1,2,3};",0
657,What are the two different ways of specifying the length of an array?,user defined value or by the number of elements in initializer list,0
658,What are the two different ways of specifying the length of an array?,"you can assign the size of it inside the brackets when you declare the array [3], or you can have it set by how many items you set the array equal to {1,2,3}",0
659,What are the two different ways of specifying the length of an array?,"use an arraylist, or have your program ask the array how many elements it has. As an obj it it should have member length that is the number of slots it has. ",0
660,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"strings that are used in an char array are much easier to manipulate than as a string object, because each character is stored separately rather than as a whole",0
661,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"the type string uses less storage and you have to change the string all at once. with an array of characters you can make permutations of words using the characters stored in the array, without needing to actually access and change the variables. with an array of characters you can just change how they're accessed.",0
662,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"Unlike in a string declared using type string, in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character.",0
663,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"All strings represented by character arrays end with the null character. You declare an object of type string just like any other type, for example:  string s; ",0
664,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"By using an array of characters, one can store and manipulate the strings rather than just having a type string variable.",0
665,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words (or an array of char arrays),0
666,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"They're basically the same, however, a string ends w/ a null character, denoting the end of the string (and the size). A char array has potential to be any size, so it must be declared or limited.",0
667,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string is a class in the standard library and has method that modify it. Whereas the char array is on able to be modifie by the user.,0
668,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"By using an array of characters, you are limited to the size of the array of characters.  By declaring by type the end of the string is acknowledged by white space.",0
669,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"The data class type string are designed to handle character data, and has many functions built into the class library to deal with them. An array of characters however is subject to all the same rules of any other array with no real additional functionality. Another difference is that the string class deals with the null character implicitly, unlike an array of characters, which must handle the null character explicitly. ",0
670,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,string declared used in an array of characters contains each character in the array and a special string-termination character called the null character versus the type string.,0
671,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,A char array reads a string as each individual character. A string literal array reads the entire string.,0
672,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,array of characters can only hold as many characters as the array size and strings are not that limited.,0
673,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"Stings can only be modified by functions of the String class, an array of characters can be modified by the user",0
674,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"if by type string, the array contains an additional terminating null character",0
675,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The array of characters has a null character \0 at the end of the array to signify the array's end.  The string does not have this.,0
676,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,strings with type string are just that. Strings. They are not part of an array list at all where as one declared by an array is actually an array of characters able to be pointed and detected.,0
677,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"the array of characters has a set length, while the type string has virtually unlimited length.",0
678,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,Char array - Individual letters can be accessed directly with array subscript notation.  String array - array subscript will return the entire string.,0
679,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,array of characters need a termination character as well as size specification whether its explicit or implicit.,0
680,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,when using an array individual characters can be accessed and manipulated.,0
681,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,strings declared using an array of characters could result in data loss if character array not initialized large enough.,0
682,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"an array is passed by reference therefore if an array of characters is changed, the memory is changed not just the variable",0
683,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"the type string has several built-in functions not available when using a char array, but the individual characters in an array or more directly accessible than the characters in a string type string.",0
684,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"declaring a string, it includes white spaces but declaring a array of character does not include white spaces",0
685,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"an array of characters has one element a string doesnt have. it is the termination element, or ""null""",0
686,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,Strings declared using the type string can vary in length. Strings declared using an array of characters can not extend past the array length.,0
687,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"cant modify individual characters of a type string array, character type array can modify individual characters",0
688,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"the type string is a class and is safer, while the other is just an array of characters.",0
689,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,"array  it is the collection of similar data types ex:int a[10]  ten indicates the size of array. [ ] is index of array, we can give only integer values to array of a.  where as string mean collection of group of characters.  string declarations have a datatype usually causes storage to be allocated in memory that is capable of holding some predetermined number of symbols.    However  Arrays can be declared to contain values of any non reference data type. Multiple arrarys of the same type ",0
690,How are arrays passed to functions?,by reference only,0
691,How are arrays passed to functions?,a reference pointer to an element in the array.,0
692,How are arrays passed to functions?,Arrays are passed to functions by reference.,0
693,How are arrays passed to functions?,#NAME?,0
694,How are arrays passed to functions?,Arrays are passed by reference.,0
695,How are arrays passed to functions?,"you must pass the array and its size to the function. Ex. function(array, size);",0
696,How are arrays passed to functions?,"Usually the same way you pass anything else... you do not have to specify the length of a char array, just pass it to the function by sending the name of the array.  Example: char str[20]; isPalindrome(str); // this sends the char array to the function isPalindrome.  Otherwise, would need to send the length of the array as well.",0
697,How are arrays passed to functions?,you pass a pointer to the first item and also pass the size.,0
698,How are arrays passed to functions?,By reference.,0
699,How are arrays passed to functions?,"In two parts, the array itself, and it's size, so that the function it's being passed to can avoid out of bounds errors.",0
700,How are arrays passed to functions?,Specify array name without brackets. Array size is normally passed as another argument so the function can process the specific number of elements in the array. Arrays are passed by reference. Individual array elements passed by value. Functions that take arrays as arguments.,0
701,How are arrays passed to functions?,Arrays are passed by reference.,0
702,How are arrays passed to functions?,the same way but with [] at the declaration and the actual function.,0
703,How are arrays passed to functions?,specify the array name without brackets.,0
704,How are arrays passed to functions?,by reference,0
705,How are arrays passed to functions?,"You pass the name of the array to the function. So for: int bin [10]; you pass it to an array like so: jingle(bin); but jingle must be declared correctly in order to receive an array, either with prototype void jingle (int []); or with the definition in its initialization: void jingle (int array[]);  It's also worth noting that arrays are passed to function by reference, so as to not copy large arrays over and over and burn memory.  This gives the function complete control over the array however.",0
706,How are arrays passed to functions?,They are called by the function then the function must loop through the array to get the set of characters.,0
707,How are arrays passed to functions?,"by reference by default, unless you specify const, at which the later will make the array unmodifiable.",0
708,How are arrays passed to functions?,"The function recieves both the array and the array size as parameters. function(arrayName, arraySize)",0
709,How are arrays passed to functions?,specifying array name and passing as reference in an argument into the function,0
710,How are arrays passed to functions?,1st you must specify the array name without brackets and then the array name and size are passed as two arguments in the function call.,0
711,How are arrays passed to functions?,"arrays are passed by reference, passing the starting address of array. programmer specifies the array name without brackets and passes the array size as another argument so the function can process the specific number of elements in the array",0
712,How are arrays passed to functions?,by reference only,0
713,How are arrays passed to functions?,by reference,0
714,How are arrays passed to functions?,by reference,0
715,How are arrays passed to functions?,by refrence,0
716,How are arrays passed to functions?,"function( int [], int length)",0
717,How are arrays passed to functions?,by reference,0
718,How are arrays passed to functions?,by reference,0
719,How are arrays passed to functions?,"The function reads the variables, stores them. then returns the what ever the variable reads. The function then prints the content of the array. ",0
720,"What is the difference between an array declared as static, and one that is not?",a static array will store the new values that were assigned to each of its elements. meaning if you call a function twice it will use the last values that were returned the first time.  if you don't declare it static then the new values will not be stored and will be reset to their original value,0
721,"What is the difference between an array declared as static, and one that is not?",a static array can only be referenced not accessed. Also static arrays can be used without creating an object.,0
722,"What is the difference between an array declared as static, and one that is not?",An array declared as static is not created and and initialized each time the function and it is also not destroyed when the function terminates.,0
723,"What is the difference between an array declared as static, and one that is not?","A program intializes static local arrays when their declarations are first encountered.  If a static array is not initialized explicityly by the programmer, earch element of that array is intialized to zero by the compiler when the array is created.  Non-static array members cannot be initialized at all in C++.",0
724,"What is the difference between an array declared as static, and one that is not?",Arrays that are static remain the same size throughout the program execution.,0
725,"What is the difference between an array declared as static, and one that is not?","a static array will only be initilized once, a non static array will be re-initilized once the program reaches the initilization line again.",0
726,"What is the difference between an array declared as static, and one that is not?",An array declared as static is available from beginning of program to end. One w/o static declaration disappears if it is not accessed within the right scope.,0
727,"What is the difference between an array declared as static, and one that is not?",a static array has pre-runtime size and that size cannot be changed. A dynamic array gets its size at runtime.,0
728,"What is the difference between an array declared as static, and one that is not?","If an array is declared as static, it is not created each time the array is called.",0
729,"What is the difference between an array declared as static, and one that is not?","An array that is not declared as static will re-initialize every time the function declaring it is called. A static array will initialize only once, at the declaration, and will store the values in it's elements throughout the duration of the program, even if the same function is called multiple times, a static array will only initialize once.",0
730,"What is the difference between an array declared as static, and one that is not?","All elements are initialized to zero if not explicitly initialized, this does not happen for automatic local arrays  ",0
731,"What is the difference between an array declared as static, and one that is not?","All elements are initialized to zero if not explicitly initialized for a static array, while a non-static array is not initialized to zero.",0
732,"What is the difference between an array declared as static, and one that is not?",static cannot be changed,0
733,"What is the difference between an array declared as static, and one that is not?","A static array has a set size that cannot change. The data may not need all of the space assigned, or could go beyond the size.",0
734,"What is the difference between an array declared as static, and one that is not?","A static member prevents naming conflicts (not put into global namespace) while allowing for information hiding (private, public).",0
735,"What is the difference between an array declared as static, and one that is not?",A static local array exists for the duration of the program and its elements are initialized to 0 if not explicitly initialized. So a static local array's elements will still be the same when called later unless specifically initialized to something else.  This doesn't happen for automatic arrays.,0
736,"What is the difference between an array declared as static, and one that is not?","Static arrays are those with a declared size, that is known to the program, whereas non-static arrays leave the size undeclared and open so it can be assigned later. Usually used for input purposes. ",0
737,"What is the difference between an array declared as static, and one that is not?","static arrays keep the values after the end of a function, while non static reinitialize every time.",0
738,"What is the difference between an array declared as static, and one that is not?","Static arrays are created and initialized only once, and the values aren't destroyed  when the function terminates in the program. Automatic arrays reset everytime the function is called.",0
739,"What is the difference between an array declared as static, and one that is not?","its not created and initialized each time program calls the function, and is not destroyed every time the function ends in the program.",0
740,"What is the difference between an array declared as static, and one that is not?","When we declare it static the array is not destroyed after the function is over.  When an array is not declared as static, the array is created and initialized every time a function calls it.",0
741,"What is the difference between an array declared as static, and one that is not?",the static array exists for the duration of the program,0
742,"What is the difference between an array declared as static, and one that is not?",an array declared as static can only be declared once,0
743,"What is the difference between an array declared as static, and one that is not?","A static array exists in memory until the program terminates, whereas an automatic (or normal) array is removed when the function that created it terminates",0
744,"What is the difference between an array declared as static, and one that is not?",not answered,0
745,"What is the difference between an array declared as static, and one that is not?",Only constants can be used to declare the size of automatic and static arrays Exists for the duration of the program Is initialized when its declaration is first encountered All elements are initialized to zero if not explicitly initialized,0
746,"What is the difference between an array declared as static, and one that is not?",A static array cannot be changed in the program.,0
747,"What is the difference between an array declared as static, and one that is not?",static arrays are available throughout the program,0
748,"What is the difference between an array declared as static, and one that is not?","a static array is allocated when the program starts and is freed when the program exits but has limited scope, while an array that is not declared static is allocated and freed when it comes into and out of scope.",0
749,"What is the difference between an array declared as static, and one that is not?","if they are declared fixed or static that means they can't change size once their storage has been allocated, however one that is not or dynamic arrarys can be resized.   ",0
750,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"at least 2, depending on how many arrays are being used.",0
751,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all of them.,0
752,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"When passing a multi-dimensional array, all dimensions must be specified except for the first dimension.",0
753,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,It depends what parameters you are passing in a multidimensional.  A multideminsional can have more than two dimensions.,0
754,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,The first dimension is not required however the subsequent dimension(s) are needed for the compiler.,0
755,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all but the first,0
756,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,All of the dimensions must be specified.,0
757,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,just the first one at least.,0
758,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"Two paramaters, the array and how many columns.  array(a[],[3])",0
759,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"The size of the first dimension can be omitted, same as a regular array. However, for every dimension outside the first, the size of those dimensions must be specified when passed, for example, a multi-dimensional array of [2][4][6] with the name MultiArray would be passed as: ""MultiArray[][4][6], 2""",0
760,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,Size of subsequent dimensions are required. Compiler must know how many elements to skip to move to the second element in the first dimension,0
761,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,Every dimension after the first.,0
762,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,both,0
763,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"the size of the first dimension does not need to be specified, but all other dimensions do.",0
764,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"when passing (in main) a multidimensional array to a function, no dimensions need be specified",0
765,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All dimensions except for the first one need to be specified when passing an array to a function, the compiler needs to know how many memory addresses to skip to make it back to the 2nd element in the first dimension.  The size of the first dimension does not need to be specified.",0
766,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,as many as there are dimensions. Most commonly just rows and columns,0
767,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"at least 2, but it should always equal the number of dimensions that the argument is expecting... like...  blah[][][][] will require 4 dimensional array input. blah[][][] will require a 3 dimensional array. blah[][] will require a 2 dimensional array.",0
768,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"None, just pass the array name.",0
769,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all subsequent dimensions after the first dimension.  first is not needed to be specified.,0
770,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"all dimensions, excluding the first one.",0
771,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,all dimensions but the first,0
772,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,the first needs to be specified by size and the rest need only be stated( first like this [3] then [][][]),0
773,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,one less than the number of dimensions the array contains,0
774,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,not answered,0
775,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,one,0
776,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,All subsequent dimensions after the first one.,0
777,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,two or more,0
778,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,1 less than the total number of dimensions,0
779,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"Multi dimensional arrays are accessed using more than 1  index, one for each dimension at least. ",0
780,"In one sentence, what is the main idea implemented by insertion sort?","Takes an element of an array and compares it with the next element, depending on the values of the two elements they will switch and then the program will compare the new switched element with the next one in the array.",0
781,"In one sentence, what is the main idea implemented by insertion sort?","Insertion sort divides the list into sorted and unsorted regions, then takes each item from the unsorted region and inserts it into its correct order in the sorted region.",0
782,"In one sentence, what is the main idea implemented by insertion sort?",The sorted array or list is built one entry at a time.,0
783,"In one sentence, what is the main idea implemented by insertion sort?",It starts with the second element and checks it to see if it is less than the element(s) to the left of it and if it is it inserts it into its corrected position.,0
784,"In one sentence, what is the main idea implemented by insertion sort?",Compare two numbers at a time and swap until the entire list is sorted.,0
785,"In one sentence, what is the main idea implemented by insertion sort?","Assume the first number is sorted, then move down the list and 'insert' the numbers you come across into the corresponding place on the sorted side of the list.",0
786,"In one sentence, what is the main idea implemented by insertion sort?",insertion sort is were after k iterations the first k items in the array are sorted it take the k+1 item and inserts it into the correct position in the already sorted k elements.,0
787,"In one sentence, what is the main idea implemented by insertion sort?",Looking at the 2nd element move forward and place the element in the correct spot.,0
788,"In one sentence, what is the main idea implemented by insertion sort?","Starting at the beginning of an array, take each element in order and place it in it's correct position relative to all previously sorted elements. ",0
789,"In one sentence, what is the main idea implemented by insertion sort?",To sort the elements in an array by removing an element from the input data and inserting it at the correct position.,0
790,"In one sentence, what is the main idea implemented by insertion sort?","Insertion sort removes an element from the data, and inserts it at the correct position in the already sorted list.",0
791,"In one sentence, what is the main idea implemented by insertion sort?",Take a number and choose a pivot point and insert the number in the correct position from the pivot point.,0
792,"In one sentence, what is the main idea implemented by insertion sort?",have a marker and sort everything to the left of the value for every new value when moving to the right.,0
793,"In one sentence, what is the main idea implemented by insertion sort?",The main idea behind insertion sort is to take a random variable from the right and insert it in order to the left.,0
794,"In one sentence, what is the main idea implemented by insertion sort?",Insertion sort progresses through a list of elements and determines where the next element should be inserted into an already sorted array starting with sorting and using the first two elements.,0
795,"In one sentence, what is the main idea implemented by insertion sort?","it goes through the list only once, picking each integer and putting it in its desired position, then continuing. ",0
